shooting_name,Season,salary_name
Fabian Espindola,2012,Fabian Espindola
Fabian Espindola,2013,Fabian Espindola
Fabian Espindola,2014,Fabian Espindola
Fabian Espindola,2015,Fabian Espindola
Fabian Espindola,2016,Fabian Espindola
Fabian Herbers,2016,Fabian Herbers
Fabian Herbers,2017,Fabian Herbers
Fabian Herbers,2018,Fabian Herbers
Fabinho,2015,Fabinho
Fabinho,2016,Fabinho
Fabinho,2017,Fabinho
Fabinho,2018,Fabinho
Fabio Alves Macedo,2013,Fabinho Alves Macedo
Fabio Alves Macedo,2014,Fabinho Alves Macedo
Fabrice-Jean Picault,2017,Fabrice Picault
Fabrice-Jean Picault,2018,Fabrice Picault
Facundo Coria,2015,Facundo Coria
Fanendo Adi,2014,Fanendo Adi
Fanendo Adi,2015,Fanendo Adi
Fanendo Adi,2016,Fanendo Adi
Fanendo Adi,2017,Fanendo Adi
Fanendo Adi,2018,Fanendo Adi
Faryd Mondragon,2011,Faryd Mondragon
Fatai Alashe,2015,Fatai Alashe
Fatai Alashe,2016,Fatai Alashe
Fatai Alashe,2017,Fatai Alashe
Fatai Alashe,2018,Fatai Alashe
Federico Bravo,2016,Federico Bravo
Federico Higuain,2012,Federico Higuain
Federico Higuain,2013,Federico Higuain
Federico Higuain,2014,Federico Higuain
Federico Higuain,2015,Federico Higuain
Federico Higuain,2016,Federico Higuain
Federico Higuain,2017,Federico Higuain
Federico Higuain,2018,Federico Higuain
Federico Puppo,2012,Federico Puppo
Felipe Gutierrez,2018,Felipe Gutierrez
Felipe Martins,2012,Felipe Martins
Felipe Martins,2013,Felipe Martins
Felipe Martins,2014,Felipe Martins
Felipe Martins,2015,Felipe Martins
Felipe Martins,2016,Felipe Martins
Felipe Martins,2017,Felipe Martins
Felipe Martins,2018,Felipe Martins
Felix Borja,2014,Felix Borja
Femi Hollinger-Janzen,2016,Femi Hollinger-Janzen
Femi Hollinger-Janzen,2017,Femi Hollinger-Janzen
Fernando Aristeguieta,2015,Fernando Aristeguieta
Fernando Bob,2018,Fernando Bob
Fernando Cardenas,2012,Fernando Cardenas
Fidel Escobar,2017,Fidel Escobar
Fidel Escobar,2018,Fidel Escobar
Florent Sinama-Pongolle,2014,Florent Pongolle
Florian Jungwirth,2017,Florian Jungwirth
Florian Jungwirth,2018,Florian Jungwirth
Florian Lechner,2012,Florian Lechner
Florian Valot,2018,Florian Valot
Francisco Calvo,2017,Francisco Calvo
Francisco Calvo,2018,Francisco Calvo
Francisco Mendoza,2011,Francisco Mendoza
Franck Songo'o,2012,Franck Songo'o
Franco Coria,2011,Franco Coria
Franco Escobar,2018,Franco Escobar
Francois Affolter,2017,Francois Affolter
Francois Affolter,2018,Francois Affolter
Frank Lampard,2015,Frank Lampard
Frank Lampard,2016,Frank Lampard
Frankie Hejduk,2011,Frankie Hejduk
Frantz Pangop,2018,Frantz Pangop
Fraser Aird,2016,Fraser Aird
Fred,2011,Fred Carreiro
Fred,2015,Fred Carreiro
Freddy Adu,2011,Freddy Adu
Freddy Adu,2012,Freddy Adu
Frederic Brillant,2016,Frederic Brillant
Frederic Brillant,2017,Frederic Brillant
Frederic Brillant,2018,Frederic Brillant
Frederic Piquionne,2013,Frederic Piquionne
Frederic Piquionne,2014,Frederic Piquionne
Frederick Braun,2012,Frederick Braun
Fredrik Gulbrandsen,2017,Fredrik Gulbrandsen
Fredy Montero,2011,Fredy Montero
Fredy Montero,2012,Fredy Montero
Fredy Montero,2017,Fredy Montero
Gabriel Farfan,2011,Gabriel Farfan
Gabriel Farfan,2012,Gabriel Farfan
Gabriel Farfan,2013,Gabriel Farfan
Gabriel Ferrari,2011,Gabriel Ferrari
Gabriel Gomez,2012,Gabriel Gomez
Gabriel Somi,2018,Gabriel Somi
Gabriel Torres,2013,Gabriel Torres
Gabriel Torres,2014,Gabriel Torres
Gabriel Torres,2015,Gabriel Torres
Gale Agbossoumonde,2013,Gale Agbossoumonde
Gaston Fernandez,2014,Gaston Fernandez
Gaston Fernandez,2015,Gaston Fernandez
Gaston Puerari,2011,Gaston Puerari
Gaston Sauro,2015,Gaston Sauro
Gaston Sauro,2016,Gaston Sauro
Gaston Sauro,2018,Gaston Sauro
Geoff Cameron,2011,Geoff Cameron
Geoff Cameron,2012,Geoff Cameron
George Bello,2018,George Bello
George Fochive,2015,George Fochive
George John,2011,George John
George John,2012,George John
George John,2013,George John
German Mera,2013,German Mera
Gershon Koffie,2011,Gershon Koffie
Gershon Koffie,2012,Gershon Koffie
Gershon Koffie,2013,Gershon Koffie
Gershon Koffie,2014,Gershon Koffie
Gershon Koffie,2015,Gershon Koffie
Gershon Koffie,2016,Gershon Koffie
Gershon Koffie,2017,Gershon Koffie
Gerso Fernandes,2017,Gerso Fernandes
Gerso Fernandes,2018,Gerso Fernandes
Gerson Mayen,2011,Gerson Mayen
Getterson,2016,Getterson Alves Dos Santos
Giancarlo Gonzalez,2014,Giancarlo Gonzalez
Gianluca Busio,2018,Gianluca Busio
Gianluca Zavarise,2011,Gianluca Zavarise
Gideon Baah,2016,Gideon Baah
Gilberto,2015,Gilberto Souza
Gilberto,2016,Gilberto Souza
Gilberto Oliveira Souza Junior,2014,Gilberto Souza
Giles Barnes,2012,Giles Barnes
Giles Barnes,2013,Giles Barnes
Giles Barnes,2014,Giles Barnes
Giles Barnes,2015,Giles Barnes
Giles Barnes,2016,Giles Barnes
Giles Barnes,2017,Giles Barnes
Giles Barnes,2018,Giles Barnes
Giliano Wijnaldum,2017,Giliano Wijnaldum
Giovani Casillas,2013,Giovani Casillas
Giovani dos Santos,2015,Giovani dos Santos
Giovani dos Santos,2016,Giovani dos Santos
Giovani dos Santos,2017,Giovani dos Santos
Giovani dos Santos,2018,Giovani dos Santos
Gonzalo Pineda,2014,Gonzalo Pineda
Gonzalo Pineda,2015,Gonzalo Pineda
Gonzalo Segares,2011,Gonzalo Segares
Gonzalo Segares,2012,Gonzalo Segares
Gonzalo Segares,2013,Gonzalo Segares
Gonzalo Segares,2014,Gonzalo Segares
Gonzalo Veron,2015,Gonzalo Veron
Gonzalo Veron,2016,Gonzalo Veron
Gonzalo Veron,2017,Gonzalo Veron
Gorka Larrea,2014,Gorka Larrea
Graham Smith,2018,Graham Smith
Graham Zusi,2011,Graham Zusi
Graham Zusi,2012,Graham Zusi
Graham Zusi,2013,Graham Zusi
Graham Zusi,2014,Graham Zusi
Graham Zusi,2015,Graham Zusi
Graham Zusi,2016,Graham Zusi
Graham Zusi,2017,Graham Zusi
Graham Zusi,2018,Graham Zusi
Grant Lillard,2018,Grant Lillard
Grant Ward,2014,Grant Ward
Greg Cochrane,2013,Greg Cochrane
Greg Cochrane,2014,Greg Cochrane
Greg Cochrane,2015,Greg Cochrane
Greg Garza,2017,Greg Garza
Greg Garza,2018,Greg Garza
Greg Janicki,2011,Greg Janicki
Gregg Berhalter,2011,Gregg Berhalter
Gregory van der Wiel,2018,Gregory Van Der Wiel
Guillermo Franco,2012,Guillermo Franco
Guillermo Hauche,2018,Guillermo Hauche
Guly,2015,Guly
Guram Kashia,2018,Guram Kashia
Gustav Svensson,2017,Gustav Svensson
Gustav Svensson,2018,Gustav Svensson
Gyasi Zardes,2013,Gyasi Zardes
Gyasi Zardes,2014,Gyasi Zardes
Gyasi Zardes,2015,Gyasi Zardes
Gyasi Zardes,2016,Gyasi Zardes
Gyasi Zardes,2017,Gyasi Zardes
Gyasi Zardes,2018,Gyasi Zardes
Hadji Barry,2016,Hadji Barry
Hadji Barry,2017,Hadji Barry
Hamdi Salihi,2012,Hamdi Salihi
Handwalla Bwana,2018,Handwalla Bwana
Hanyer Mosquera,2012,Hanyer Mosquera
Haris Medunjanin,2017,Haris Medunjanin
Haris Medunjanin,2018,Haris Medunjanin
Harold Cummings,2018,Harold Cummings
Harrison Afful,2015,Harrison Afful
Harrison Afful,2016,Harrison Afful
Harrison Afful,2017,Harrison Afful
Harrison Afful,2018,Harrison Afful
Harrison Heath,2015,Harrison Heath
Harrison Heath,2016,Harrison Heath
Harrison Heath,2018,Harrison Heath
Harry Shipp,2014,Harry Shipp
Harry Shipp,2015,Harry Shipp
Harry Shipp,2016,Harry Shipp
Harry Shipp,2017,Harry Shipp
Harry Shipp,2018,Harry Shipp
Hassoun Camara,2012,Hassoun Camara
Hassoun Camara,2013,Hassoun Camara
Hassoun Camara,2014,Hassoun Camara
Hassoun Camara,2015,Hassoun Camara
Hassoun Camara,2016,Hassoun Camara
Hassoun Camara,2017,Hassoun Camara
Heath Pearce,2011,Heath Pearce
Heath Pearce,2012,Heath Pearce
Heath Pearce,2013,Heath Pearce
Heath Pearce,2014,Heath Pearce
Hector Jimenez,2011,Hector Jimenez
Hector Jimenez,2012,Hector Jimenez
Hector Jimenez,2013,Hector Jimenez
Hector Jimenez,2014,Hector Jimenez
Hector Jimenez,2015,Hector Jimenez
Hector Jimenez,2016,Hector Jimenez
Hector Jimenez,2017,Hector Jimenez
Hector Jimenez,2018,Hector Jimenez
Hector Villalba,2017,Hector Villalba
Hector Villalba,2018,Hector Villalba
Hendry Thomas,2012,Hendry Thomas
Hendry Thomas,2013,Hendry Thomas
Hendry Thomas,2014,Hendry Thomas
Henok Goitom,2016,Henok Goitom
Henry Wingo,2017,Henry Wingo
Henry Wingo,2018,Henry Wingo
Herculez Gomez,2015,Herculez Gomez
Herculez Gomez,2016,Herculez Gomez
Hernan Bernardello,2013,Hernan Bernardello
Hernan Bernardello,2014,Hernan Bernardello
Hernan Bernardello,2016,Hernan Bernardello
Hernan Bernardello,2017,Hernan Bernardello
Hernan Grana,2015,Hernan Grana
Hernan Grana,2017,Hernan Grana
Hernan Pertuz,2012,Hernan Pertuz
