Minute,HomeLead,PlayerAdvantage,playerdiff,minute,Win,Tie,Lose,N,ActWin,ActTie,ActLose,xPts,LowerWin,UpperWin,Inside?
40,-3,Neutral,0,40,0.022482951,0.078796866,0.898720183,4,0,0,1,0.14624572,-0.148247996,0.148247996,1
50,-3,Neutral,0,50,0.013920485,0.049226364,0.936853151,10,0.1,0,0.9,0.09098782,0.025900863,0.174099137,0
60,-3,Neutral,0,60,0.006948778,0.034519925,0.958531296,11,0,0.090909091,0.909090909,0.055366261,-0.050092616,0.050092616,1
70,-3,Neutral,0,70,0.001398296,0.015043691,0.983558013,8,0,0.125,0.875,0.019238579,-0.026422915,0.026422915,1
80,-3,Neutral,0,80,4.89E-05,0.001380409,0.998570655,10,0,0,1,0.001527216,-0.004424175,0.004424175,1
90,-3,Neutral,0,90,4.73E-07,3.73E-05,0.999962275,12,0,0,1,3.87E-05,-0.000397145,0.000397145,1
0,-2,Neutral,0,0,0.247269206,0.122746573,0.629984221,NA,NA,NA,NA,0.864554191,#VALUE!,#VALUE!,#VALUE!
10,-2,Neutral,0,10,0.174466998,0.137393309,0.688139693,1,1,0,0,0.660794303,0.240978882,1.759021118,0
20,-2,Neutral,0,20,0.125686924,0.156342812,0.717970264,10,0.2,0.2,0.6,0.533403585,-0.009656597,0.409656597,1
30,-2,Neutral,0,30,0.095048691,0.177842187,0.727109122,17,0.176470588,0.117647059,0.705882353,0.46298826,0.034207834,0.318733342,1
40,-2,Neutral,0,40,0.071922871,0.172299397,0.755777732,28,0.107142857,0.107142857,0.785714286,0.388068011,0.009491896,0.204793819,1
50,-2,Neutral,0,50,0.051390942,0.139346412,0.809262646,41,0.048780488,0.146341463,0.804878049,0.293519239,-0.020183917,0.117744892,1
60,-2,Neutral,0,60,0.031542344,0.120656647,0.847801009,42,0.047619048,0.095238095,0.857142857,0.215283678,-0.00631868,0.101556776,1
70,-2,Neutral,0,70,0.01006427,0.081190368,0.908745362,54,0,0.055555556,0.944444444,0.111383179,-0.027166129,0.027166129,1
80,-2,Neutral,0,80,0.000894467,0.021938831,0.977166702,53,0.018867925,0.075471698,0.905660377,0.024622232,0.01065534,0.02708051,0
90,-2,Neutral,0,90,3.10E-05,0.002744765,0.997224205,55,0,0.018181818,0.981818182,0.002837855,-0.001502216,0.001502216,1
0,-1,Neutral,0,0,0.380222902,0.200578568,0.41919853,NA,NA,NA,NA,1.341247273,#VALUE!,#VALUE!,#VALUE!
10,-1,Neutral,0,10,0.326135321,0.2263543,0.447510379,87,0.333333333,0.218390805,0.448275862,1.204760264,0.232812603,0.433854063,1
20,-1,Neutral,0,20,0.279832654,0.253473617,0.466693729,150,0.306666667,0.26,0.433333333,1.092971579,0.233358852,0.379974482,1
30,-1,Neutral,0,30,0.241690021,0.279956679,0.4783533,161,0.248447205,0.304347826,0.447204969,1.005026743,0.180968024,0.315926386,1
40,-1,Neutral,0,40,0.207052828,0.295109264,0.497837907,160,0.2,0.30625,0.49375,0.91626775,0.135933247,0.264066753,1
50,-1,Neutral,0,50,0.172117454,0.29863698,0.529245566,160,0.1875,0.275,0.5375,0.814989343,0.127814776,0.247185224,1
60,-1,Neutral,0,60,0.131640465,0.312576528,0.555783007,163,0.147239264,0.288343558,0.564417178,0.707497922,0.094275275,0.200203253,1
70,-1,Neutral,0,70,0.068740763,0.3193453,0.611913937,151,0.119205298,0.231788079,0.649006623,0.52556759,0.078025521,0.160385075,0
80,-1,Neutral,0,80,0.016114003,0.262898591,0.720987406,134,0.044776119,0.179104478,0.776119403,0.3112406,0.023021489,0.06653075,0
90,-1,Neutral,0,90,0.00203089,0.168647034,0.829322075,122,0.008196721,0.114754098,0.87704918,0.174739705,4.49523E-05,0.01634849,1
0,0,Neutral,0,0,0.533954049,0.251775144,0.214270808,1089,0.532598714,0.2543618,0.213039486,1.85363729,0.502365636,0.562831793,1
10,0,Neutral,0,10,0.525692299,0.266405015,0.207902685,848,0.521226415,0.267688679,0.211084906,1.843481913,0.48693164,0.555521191,1
20,0,Neutral,0,20,0.512262724,0.2806002,0.207137077,641,0.503900156,0.276131045,0.219968799,1.817388371,0.464414411,0.543385901,1
30,0,Neutral,0,30,0.491655614,0.296568616,0.21177577,523,0.476099426,0.305927342,0.217973231,1.771535458,0.432378569,0.519820284,1
40,0,Neutral,0,40,0.468032482,0.3226424,0.209325118,452,0.449115044,0.325221239,0.225663717,1.726739846,0.402175234,0.496054855,1
50,0,Neutral,0,50,0.443775418,0.360998167,0.195226415,388,0.43814433,0.368556701,0.193298969,1.69232442,0.387699014,0.488589645,1
60,0,Neutral,0,60,0.413700398,0.404361134,0.181938468,321,0.414330218,0.426791277,0.158878505,1.645462327,0.359353318,0.469307118,1
70,0,Neutral,0,70,0.348930832,0.49024952,0.160819649,284,0.338028169,0.531690141,0.13028169,1.537042014,0.281462352,0.394593986,1
80,0,Neutral,0,80,0.230541709,0.65829876,0.111159531,235,0.212765957,0.676595745,0.110638298,1.349923887,0.157816506,0.267715409,1
90,0,Neutral,0,90,0.11774399,0.827199141,0.055056869,214,0.102803738,0.859813084,0.037383178,1.180431111,0.058739142,0.146868335,1
0,1,Neutral,0,0,0.68149556,0.236533805,0.081970635,NA,NA,NA,NA,2.281020486,#VALUE!,#VALUE!,#VALUE!
10,1,Neutral,0,10,0.71736663,0.216072318,0.066561051,111,0.72972973,0.198198198,0.072072072,2.36817221,0.644252427,0.815207033,1
20,1,Neutral,0,20,0.739508071,0.201002269,0.05948966,212,0.754716981,0.198113208,0.047169811,2.419526481,0.694429011,0.815004951,1
30,1,Neutral,0,30,0.745864235,0.195725246,0.058410519,249,0.759036145,0.176706827,0.064257028,2.43331795,0.703854695,0.814217595,1
40,1,Neutral,0,40,0.747758512,0.201871699,0.050369789,269,0.747211896,0.211895911,0.040892193,2.445147236,0.694252527,0.800171264,1
50,1,Neutral,0,50,0.753800792,0.211324997,0.034874211,259,0.722007722,0.22007722,0.057915058,2.472727372,0.668471005,0.775544439,1
60,1,Neutral,0,60,0.766589652,0.209551368,0.023858979,250,0.776,0.192,0.032,2.509320326,0.722494119,0.829505881,1
70,1,Neutral,0,70,0.795550116,0.193578824,0.01087106,233,0.819742489,0.158798283,0.021459227,2.580229172,0.76690049,0.872584489,1
80,1,Neutral,0,80,0.845705943,0.152706369,0.001587688,248,0.850806452,0.137096774,0.012096774,2.689824199,0.804930145,0.896682758,1
90,1,Neutral,0,90,0.897459383,0.102448326,9.23E-05,221,0.918552036,0.081447964,0,2.794826473,0.87773991,0.959364163,1
0,2,Neutral,0,0,0.799837829,0.175408948,0.024753223,NA,NA,NA,NA,2.574922435,#VALUE!,#VALUE!,#VALUE!
10,2,Neutral,0,10,0.853211316,0.130874662,0.015914022,9,0.888888889,0.111111111,0,2.69050861,0.652958799,1.124818979,1
20,2,Neutral,0,20,0.884705582,0.103064582,0.012229836,22,0.954545455,0.045454545,0,2.757181328,0.818362679,1.09072823,1
30,2,Neutral,0,30,0.899051566,0.089754251,0.011194183,44,0.886363636,0.113636364,0,2.786908949,0.795530199,0.977197074,1
40,2,Neutral,0,40,0.90899549,0.083036355,0.007968155,72,0.958333333,0.041666667,0,2.810022825,0.890541704,1.026124962,1
50,2,Neutral,0,50,0.921566788,0.074672797,0.003760416,107,0.943925234,0.056074766,0,2.839373159,0.89194341,0.995907058,1
60,2,Neutral,0,60,0.938600952,0.059679582,0.001719465,108,0.944444444,0.055555556,0,2.87548244,0.898244715,0.990644174,1
70,2,Neutral,0,70,0.965814298,0.033860168,0.000325533,131,0.961832061,0.038167939,0,2.931303064,0.930080622,0.9935835,1
80,2,Neutral,0,80,0.990125518,0.009868164,6.32E-06,132,0.992424242,0.007575758,0,2.980244719,0.975211689,1.009636796,1
90,2,Neutral,0,90,0.998260797,0.001739182,2.12E-08,141,1,0,0,2.996521572,0.992981931,1.007018069,1
0,3,Neutral,0,0,0.881833527,0.111745163,0.00642131,NA,NA,NA,NA,2.757245744,#VALUE!,#VALUE!,#VALUE!
10,3,Neutral,0,10,0.930123628,0.066676023,0.003200349,NA,NA,NA,NA,2.857046906,#VALUE!,#VALUE!,#VALUE!
20,3,Neutral,0,20,0.954004222,0.043906893,0.002088885,2,1,0,0,2.905919558,0.703756294,1.296243706,1
